Fighter,Elo Rating
Aoriqileng,1002.62
Antoni Hardonk,1002.61
Joe Charles,1002.6
Fernando Padilla,1002.49
Travis Fulton,1002.48
Gabriella Fernandes,1002.41
Brian Melancon,1002.32
Ryan Janes,1002.32
Nick Thompson,1002.31
Jonathan Meunier,1002.3
Mike Pyle,1002.29
Jason Saggo,1002.28
Victor Hugo,1002.28
Geza Kalman,1002.23
Kyle Nelson,1002.22
Dwayne Cason,1002.1
Miguel Torres,1002.1
Rongzhu,1002.06
Jutaro Nakao,1002.04
Hunter Azure,1002.04
Daria Zhelezniakova,1001.99
Abubakar Nurmagomedov,1001.93
Chris Kelades,1001.75
Themba Gorimbo,1001.69
Hector Sandoval,1001.66
Erik Koch,1001.63
Dan Christison,1001.61
Benito Lopez,1001.58
Nick Catone,1001.54
Pascal Krauss,1001.54
Steven Asplund,1001.41
Justin McCully,1001.32
Brianna Fortino,1001.32
Paul Buentello,1001.3
Joe Moreira,1001.28
Tai Bowden,1001.15
Wes Schultz,1001.15
Benji Radach,1001.09
Lucas Rocha,1001.09
Nick Sanzo,1001.08
John Lewis,1001.08
Lance Gibson,1001.08
Nora Cornolle,1001.03
Dan Cramer,1001.02
Shauna Bannon,1001.01
Dustin Hazelett,1000.97
Junie Browning,1000.97
Benardo Sopaj,1000.96
Eddie Yagin,1000.95
Jose Torres,1000.91
Jesus Pinedo,1000.9
Lance Benoist,1000.84
Galore Bofando,1000.8
Noad Lahat,1000.77
Kevin Jousset,1000.77
Nate Marquardt,1000.75
Nicco Montano,1000.75
Jafel Filho,1000.75
Lavar Johnson,1000.48
John Gunther,1000.48
Tsuyoshi Kohsaka,1000.41
Zach Reese,1000.31
Jarred Brooks,1000.29
Wesley Correira,1000.28
Shamil Gamzatov,1000.26
Kody Steele,1000.23
John Yannis,1000.2
Semmy Schilt,1000.18
JooSang Yoo,1000.18
Jai Herbert,1000.16
Cristian Quinonez,1000.13
Abdul-Kareem Al-Selwady,1000.13
Melissa Mullins,1000.1
Jack Nilson,1000.07
Brad Kohler,1000.07
Sai Wang,1000.07
Ben Askren,1000.02
Isaac Dulgarian,1000.02
Kevin Jackson,1000.01
Patrick Walsh,1000.01
Orlando Wiet,1000.0
Todd Medina,1000.0
Steven Graham,1000.0
Alfonso Alcarez,1000.0
CJ Fernandes,1000.0
Mark Robinson,1000.0
Ron Faircloth,1000.0
Anthony Torres,1000.0
